P46934,-3.312,-5.97,-3.86,-19.25,-0.11914,-4.812,-4.562,-3.875,0.0996,-14.81,5.312,13.94,11.125,-11.0,0.801,-2.547,-15.125,16.62,17.38,17.88,7.0,14.69,-3.672,7.97,3.75,-11.56,-2.719,11.0,4.375,-6.562,-7.156,-14.69,-12.125,-6.25,-11.44,3.203,10.19,-2.547,12.875,-24.62,-10.875,4.97,8.06,-1.539,9.875,11.625,-2.062,11.625,0.1533,12.44,-13.5,0.1348,2.984,-18.62,9.19,-15.625,19.25,7.28,9.56,5.25,-14.375,-16.12,-11.19,-7.0,-9.81,-12.94,-6.438,-5.906,-2.047,7.22,12.875,-4.22,7.906,-4.812,-12.44,-7.094,-2.734,-4.53,7.938,9.625,19.25,-8.125,-4.5,5.906,35.0,-5.438,3.172,-9.81,-1.281,-8.31,-9.69,9.125,15.31,-20.0,-26.12,8.56,0.875,-34.75,47.5,2.297,-10.625,-35.25,-20.25,-12.69,1.5625,-5.47,0.3945,2.125,1.172,20.62,17.38,-6.97,9.75,0.699,-9.625,-8.625,-0.992,5.78,3.125,15.19,2.625,-1.109,14.19,-20.12,-9.5,-4.094,12.06,-0.02344,-16.5,0.711,21.5,12.0,11.625,16.88,-2.062,-14.81,-4.72,3.672,1.281,-1.805,7.375,-0.5,-3.156,9.19,3.453,6.188,15.06,10.0,0.508,-3.469,-12.31,-18.62,4.03,-8.81,2.344,-3.281,0.2002,14.06,-2.14,15.81,-6.78,-13.81,-5.594,-1.352,16.88,12.125,-7.562,-19.0,6.562,-17.38,10.875,8.875,0.7656,148.0,-3.062,12.0,-1.547,19.38,34.25,-4.094,1.0625,-8.375,-3.938,-1.875,-4.938,2.828,9.69,6.562,16.12,7.344,13.125,13.44,11.31,1.516,-11.44,-3.594,4.47,10.375,-0.6836,8.625,-24.75,-0.9844,12.375,-4.156,4.72,4.625,-3.86,-19.88,-1.609,-7.938,-0.797,3.953,-30.88,10.625,-3.281,-11.75,-16.5,2.125,-19.62,-8.81,6.78,24.62,6.188,-23.0,0.758,-11.375,1.891,-1.672,6.406,-0.3633,1.297,-15.44,11.06,10.5,19.88,27.75,3.5,-4.28,16.12,-14.0,-8.06,-8.19,6.22,20.25,12.69,-10.69,6.906,26.12,-15.625,-2.969,16.25,-0.6094,-14.56,8.5,-4.72,-14.5
Q9BRK5,-3.89,-0.949,1.609,19.38,-15.31,-11.5,1.359,3.781,-0.3535,2.156,-1.414,-0.1602,-4.0,-1.82,13.06,11.19,-2.375,2.375,8.375,-6.188,-0.824,-7.0,3.672,-15.75,4.125,-10.625,11.75,5.406,-0.1279,-11.75,0.332,-14.375,-12.75,-4.938,-26.12,-9.94,12.375,-0.754,-14.625,-11.69,-5.22,5.28,-9.06,-10.25,-5.312,-11.69,-17.12,13.44,11.56,3.656,-4.375,7.344,-5.906,-2.156,-4.22,3.11,5.344,4.688,-7.594,19.0,0.4102,-17.75,-3.61,-9.06,4.438,4.844,-9.44,5.188,19.38,5.5,36.25,-6.562,3.0,-15.69,-5.5,-13.125,-12.125,5.78,-3.016,11.19,21.75,8.875,-8.25,3.594,33.0,6.562,2.547,-1.3125,4.688,-11.81,-4.28,9.875,-0.1562,-4.438,-10.125,-1.523,12.94,-41.0,30.38,20.25,-6.375,-35.0,-17.38,-4.72,-9.375,8.625,9.125,-5.5,-20.75,13.375,-1.586,-14.44,-0.7656,-12.75,-6.47,-11.19,-11.81,2.64,-2.969,1.734,11.875,-3.938,12.5,-9.56,11.875,-6.906,17.0,-17.25,5.25,4.0,22.25,-12.125,8.25,14.19,13.125,-24.75,5.844,-7.03,0.949,-3.969,14.875,4.688,-1.43,-3.281,-17.75,11.5,7.28,-10.375,10.375,20.75,-15.75,-8.75,14.875,8.06,-12.06,-2.625,5.688,-7.812,4.375,10.25,0.4688,20.5,-5.438,1.758,9.44,23.5,-8.94,-13.25,2.984,-13.0,1.9375,10.875,-7.562,131.0,-9.25,-11.25,-7.656,7.406,44.25,-14.25,-8.5,-12.44,-23.0,-4.5,-8.25,-7.062,-3.125,13.69,10.06,2.75,-0.9375,11.375,-6.25,5.438,-20.5,21.75,25.25,13.375,11.5,6.125,-13.75,-6.78,-2.328,-9.56,-6.03,-9.25,-23.62,-13.94,-16.88,-3.688,-14.0,-11.06,-20.88,11.875,2.61,-21.25,4.25,17.62,-15.06,-1.477,-0.4336,11.25,8.125,19.88,-15.25,-23.38,-15.69,-3.672,-20.0,10.06,-9.06,-2.156,-16.0,7.875,18.62,-9.625,-11.69,-6.594,17.75,2.625,-3.61,1.75,1.469,20.88,0.5938,-11.69,1.711,-4.656,3.078,10.875,26.62,5.22,7.344,-6.594,8.375,-17.62
O75643,-2.438,-13.0,8.69,-5.78,-8.25,-11.375,0.6406,-11.06,-0.664,3.797,5.625,-8.75,8.56,-14.56,19.0,16.5,-9.0,17.88,10.75,-5.72,-5.188,6.594,-0.3828,-4.28,13.625,-6.438,-3.984,10.375,1.3125,-1.391,-12.0,-20.25,-4.438,5.188,5.625,4.72,1.008,-6.812,14.94,-18.38,-4.875,18.75,1.859,-4.22,-0.2461,4.312,-1.477,9.06,0.6445,9.875,13.0,0.5547,0.539,-5.344,11.06,-1.023,-0.8984,7.97,-7.97,2.781,-7.78,-23.12,2.688,-2.25,-10.875,-11.19,3.812,-13.125,0.5664,-7.25,11.0,-3.438,5.406,6.844,6.625,-9.69,-6.406,1.156,-14.56,-1.781,3.11,-4.562,-1.992,27.5,34.5,3.234,7.938,-7.344,-12.19,-9.81,-10.56,10.0,6.844,-15.44,-8.0,4.188,-1.0625,-10.69,65.0,7.125,-3.797,-37.5,-3.797,3.562,-1.008,-2.094,-0.547,8.06,-17.25,16.5,1.805,-6.688,2.188,-15.625,-2.031,-7.406,-9.25,-0.1807,-9.31,10.375,5.688,-7.344,-3.812,-19.5,5.906,3.688,-9.56,11.44,-8.625,-8.19,20.0,12.0,4.062,13.19,2.969,-23.0,-5.125,6.156,-3.61,-0.6406,3.375,8.25,-2.062,2.703,-7.75,4.938,7.28,-2.906,0.828,-7.406,11.375,-14.5,1.469,-9.0,-13.625,7.47,9.125,0.836,2.438,-9.94,-5.938,-3.672,-3.812,12.0,9.75,10.125,-1.242,-26.5,-1.484,-13.81,9.94,6.312,-0.3945,156.0,11.0,4.156,-5.75,6.938,37.75,0.871,-0.703,-3.89,8.875,3.312,-3.938,12.875,-5.72,5.53,9.625,-4.406,10.06,1.359,-3.828,5.625,-17.12,16.0,-3.297,4.188,-0.2695,3.0,-7.53,13.56,4.438,-1.008,1.602,6.28,2.219,-14.375,3.875,6.156,0.1729,-1.797,-3.312,8.81,-9.375,-23.5,-4.156,11.0,-25.25,-3.25,6.78,7.78,-6.53,-16.38,-12.31,-18.12,-2.484,1.148,-23.88,-3.969,13.125,4.78,8.81,7.375,8.25,12.375,-2.234,-16.75,9.31,3.828,11.625,-9.31,-6.062,30.88,13.56,-19.0,15.56,10.625,-7.406,-5.75,14.06,9.25,-0.3398,-0.961,-11.06,-9.125
Q8N7H5,0.1719,0.582,1.68,2.656,4.406,-7.438,3.094,-4.53,2.86,2.031,9.875,-8.44,27.38,-6.844,22.38,12.19,-14.0,20.38,7.625,-12.56,-6.875,0.9453,-13.94,-9.0,20.75,2.344,2.984,8.375,-2.172,-0.879,-4.97,-32.75,-12.94,-1.156,9.875,0.07324,18.88,-11.875,-3.062,-18.88,-1.547,6.094,-0.3438,-7.688,-12.5,13.94,4.312,25.0,0.8555,31.25,6.72,-8.875,5.78,-4.156,15.75,3.938,3.688,15.81,2.344,23.0,-8.375,-11.19,0.836,-5.844,4.812,-20.0,-8.19,-29.25,4.188,-9.81,20.62,-2.516,6.344,21.0,14.44,-5.0,-3.438,9.44,-5.22,-0.7656,5.438,-6.22,-9.875,24.12,30.38,-6.97,38.0,-29.5,-1.297,-5.062,-12.56,4.594,4.03,-6.53,-4.438,8.75,6.438,-15.69,70.5,9.75,-14.31,-32.75,-27.12,2.062,-15.875,-10.125,3.094,-2.047,-13.125,32.75,4.406,-9.06,23.25,-5.125,-26.5,-8.19,-3.453,-2.5,-3.86,-0.6797,5.438,-18.0,5.125,-30.12,2.453,-13.75,-12.69,7.47,-13.0,-3.188,20.88,16.5,14.56,9.75,6.53,-15.56,-2.562,6.72,-5.312,11.69,9.44,16.62,2.312,6.375,-9.31,6.125,5.28,-5.312,-6.375,7.156,-0.293,-22.12,7.47,4.875,-7.125,-5.562,12.375,2.64,9.5,-2.047,-9.75,-12.125,-14.06,9.0,12.81,16.88,-14.75,-25.12,1.039,-15.25,4.625,5.25,-6.062,168.0,25.12,2.36,-13.25,8.31,49.75,14.125,3.11,10.25,-0.664,7.28,2.031,-8.125,-8.06,-2.094,-10.375,22.12,5.906,0.8086,-5.28,-0.7656,-18.5,14.5,5.0,3.375,-14.81,-1.781,-17.0,2.031,24.25,-15.44,-2.953,14.94,-0.1562,-47.5,-11.19,7.344,-0.5586,-4.72,-14.5,6.0,-16.5,-28.12,-25.88,-4.47,-18.62,-15.875,0.3457,12.625,-10.125,-17.0,-10.56,-27.38,-4.844,5.22,-18.38,-1.672,28.88,-5.188,6.094,-2.094,26.0,7.812,-0.01953,5.0,7.25,-14.75,4.75,-18.0,-4.5,32.5,17.12,-2.734,21.62,11.75,-9.44,-2.61,26.25,-1.594,-7.656,7.25,-4.844,-10.375
O60524,-6.562,-7.094,4.78,-6.844,-13.81,-8.5,6.47,-4.594,-0.785,-4.594,4.812,0.793,5.03,-9.625,-2.219,12.69,-10.06,16.62,8.375,-4.625,-0.4766,-1.094,9.44,-0.871,1.172,-17.12,6.656,9.56,-2.703,-2.219,-4.594,-2.14,-5.406,-1.305,0.3086,-9.94,1.078,-7.312,6.156,-16.62,-9.625,9.125,-0.4375,-3.64,15.75,-6.844,-7.438,16.38,7.438,4.906,1.227,-0.699,-5.25,-3.172,-3.375,-0.3555,11.125,12.125,-1.4375,-5.438,-0.125,-11.25,-9.875,-3.828,-13.69,10.44,-9.44,-4.03,0.4277,-0.2129,19.75,-5.406,11.125,-18.5,-3.0,-17.38,-9.19,4.25,-2.375,10.0,4.72,-6.375,-1.859,8.94,37.5,1.82,20.62,-10.06,-5.72,-12.5,-12.06,7.188,1.727,-10.0,-13.75,11.44,1.6875,-28.75,53.25,4.25,-4.25,-25.62,-6.97,3.516,-4.5,1.406,8.375,0.914,-12.75,7.875,6.594,-0.2217,11.875,-11.94,-6.53,-13.375,-9.375,5.188,-1.789,8.19,-7.22,-0.715,-1.422,-22.25,-13.75,4.78,-0.4688,-2.172,6.72,5.72,15.31,10.625,9.5,18.5,4.72,-9.375,-8.31,0.1357,-9.625,-0.828,5.0,-6.5,0.9844,-2.172,3.078,4.97,11.31,-3.922,11.625,2.969,-2.547,-5.594,4.438,7.594,2.938,-10.625,-1.68,-0.02441,10.625,2.469,-5.5,0.0293,-3.766,2.188,11.0,22.62,-5.188,-16.5,-5.875,-14.625,-10.56,6.03,-12.81,163.0,-4.938,2.094,10.75,8.06,28.75,-7.438,-4.844,-4.938,3.062,9.31,-11.875,5.438,7.688,5.812,1.398,-2.734,-3.25,4.125,8.375,-3.0,-20.25,12.19,7.53,-0.01563,11.25,1.5625,2.61,6.28,11.56,-2.828,4.375,3.75,1.031,-16.75,-10.75,0.2305,-1.805,4.906,-12.75,0.5625,10.19,-11.06,-2.36,6.938,-13.81,-16.5,1.719,16.5,4.03,-30.0,-21.25,-21.75,-6.156,-3.781,-13.0,6.062,2.375,-4.22,3.922,14.06,-0.01172,-0.5,-5.594,-9.44,0.007812,-11.25,1.8125,-6.656,11.5,35.0,6.5,-16.12,1.609,7.594,4.688,-0.254,24.75,8.5,-17.5,0.7383,-3.64,-18.75
Q02040,1.133,-3.906,3.875,-8.31,-13.81,-16.12,1.289,-17.38,1.633,-4.125,10.375,15.44,12.94,-15.81,18.12,15.56,-14.31,27.75,12.0,5.938,-8.19,4.03,-7.094,-12.5,19.38,0.707,8.19,12.875,-4.312,-6.78,-12.94,-36.75,-7.312,0.8906,3.203,5.0,4.0,-4.5,6.938,-27.25,-6.47,12.69,5.188,6.062,1.547,-4.375,-0.02002,15.75,6.344,15.81,4.938,-14.69,9.69,-10.625,14.625,-5.688,-1.391,7.78,15.44,10.25,-4.22,-16.25,-5.188,-7.78,-8.375,-19.75,-3.61,-22.88,-0.801,-9.94,17.88,-18.0,14.31,-0.03906,-0.785,-3.719,-7.438,13.0,-1.383,6.562,13.06,-7.75,-3.64,37.25,39.75,-8.5,30.0,-15.875,-6.438,-17.12,-0.8945,-0.9414,-0.508,-26.0,-8.56,7.75,3.344,-13.625,67.5,6.97,-4.25,-32.5,-26.75,-0.2695,-1.703,-22.12,10.31,4.0,-18.38,28.75,4.72,-2.594,17.12,-9.875,-5.125,-15.94,-9.75,-7.625,-8.19,15.5,16.62,-12.56,-1.141,-30.75,-5.188,-14.625,-16.88,1.125,-14.125,-12.375,21.62,18.88,7.906,21.0,-3.89,-26.38,-4.47,0.797,-11.625,-9.06,4.812,-0.5547,-5.438,0.828,-7.125,-2.39,3.61,-3.797,-5.188,6.375,10.25,-9.19,6.53,-6.406,-9.31,4.0,0.8125,-6.72,10.69,-10.875,2.219,-20.12,-10.81,4.72,15.625,14.81,-16.0,-32.0,1.023,-13.94,6.53,4.656,-4.344,146.0,3.703,12.44,-4.53,10.31,50.25,9.0,-3.688,-8.69,7.22,8.44,-2.438,-1.484,8.69,12.375,1.266,15.19,8.875,1.969,-1.547,7.438,-9.25,11.06,5.03,5.875,1.07,5.312,-21.25,11.75,17.5,-12.44,5.406,13.19,-13.125,-29.0,-6.47,6.844,1.672,8.125,-17.25,3.016,-7.938,-24.5,-14.25,4.97,-27.88,-1.008,14.0,19.0,-7.25,-7.0,-4.656,-11.5,5.5,-0.6836,-22.75,3.844,32.5,0.5195,15.625,-1.609,23.12,7.156,-2.406,1.406,18.88,3.688,7.156,-14.31,-1.945,32.5,22.38,1.008,16.38,11.31,-10.81,-14.31,16.12,4.0,17.62,-11.0,-1.797,-4.78
P02749,7.812,11.875,18.0,24.38,9.81,-3.922,4.78,-5.375,11.75,18.12,-7.312,0.703,7.156,5.812,-4.97,11.19,11.125,17.25,15.56,-3.562,15.5,-15.81,9.06,-0.7266,15.69,-5.53,0.1328,6.344,27.62,-0.6055,9.375,-7.594,-19.75,14.44,-20.75,-0.8203,9.625,-14.75,-0.379,6.72,-9.06,25.88,-7.75,-4.188,8.31,-0.1738,-8.94,-10.875,18.12,-18.5,-4.5,-9.94,-1.055,-12.875,-20.75,-5.938,13.44,6.28,-4.53,17.25,5.312,-12.56,-1.523,-2.61,3.0,-2.094,1.625,3.375,8.81,-14.69,8.5,5.25,-7.406,-27.62,6.062,-19.12,-19.88,-5.438,-8.56,7.22,17.12,9.44,4.844,-6.75,15.44,3.61,1.984,-23.62,0.10547,1.18,-24.88,10.875,2.828,-23.62,-16.5,-0.379,14.81,-13.875,57.75,9.94,-13.5,-29.88,5.094,0.8086,4.312,5.594,6.75,7.625,-16.0,-0.961,-15.25,-14.31,-22.75,-6.53,-4.625,2.016,-22.88,4.406,1.828,-9.875,10.0,-3.5,21.75,-17.88,5.156,12.06,8.19,-4.062,10.375,16.88,16.62,-10.25,5.625,10.06,11.375,1.641,4.188,-10.56,-7.688,1.109,0.2344,17.5,-0.9688,-5.312,-0.5625,-0.961,1.648,-8.5,7.72,36.25,-3.094,-1.5625,-0.4375,8.25,-11.75,8.25,11.06,5.25,-2.438,-1.672,-10.19,0.9297,7.625,11.625,1.891,22.88,-12.5,-4.25,5.062,6.594,-5.25,0.2812,2.0,113.5,0.8867,-6.78,-7.875,-1.117,30.75,3.984,-19.5,-12.31,-13.125,-9.56,3.422,13.75,4.78,0.5977,6.72,-2.031,1.117,1.195,-6.844,27.88,-12.125,27.0,11.375,13.875,-2.688,-12.875,-20.25,16.62,-10.0,-8.25,-0.8984,4.156,-3.234,-11.56,-0.8047,10.69,-24.88,-25.88,-6.562,7.5,-23.75,-10.5,15.75,22.5,-1.906,0.6016,-9.06,20.25,16.38,-3.219,-12.125,-5.53,-12.75,-4.625,-13.375,-10.75,10.19,2.266,2.188,-9.69,12.44,-7.938,3.078,-5.72,-8.94,4.875,-1.75,-6.906,7.312,12.875,2.016,-5.312,8.0,-3.062,-4.562,4.094,22.25,-1.586,-9.69,13.19,8.19,-7.625
P55036,-5.312,-4.97,-13.0,-4.125,-7.72,-18.5,3.594,-11.625,10.94,-2.719,8.44,13.25,-4.656,-14.19,5.188,1.922,-6.156,40.25,23.5,2.594,-3.531,-3.938,6.5,-17.38,5.188,-10.0,1.0625,-7.75,-13.19,7.688,6.406,-17.75,-6.375,3.688,-1.797,-9.0,6.688,-5.78,11.25,-10.625,1.0,-8.75,4.812,-3.75,4.78,-15.5,1.297,4.094,9.625,11.06,-4.47,-4.094,11.31,3.984,-0.9883,-2.531,15.19,24.5,4.438,2.75,4.656,-26.12,-10.25,-14.81,3.39,7.656,-4.438,-6.22,-3.188,-16.62,10.5,-8.0,2.36,-18.88,-13.125,-14.44,-14.5,10.81,-16.12,0.1216,2.188,-7.938,-1.414,15.19,37.5,9.375,29.62,-12.875,-3.984,4.938,1.852,7.25,7.156,-13.0,-7.156,2.328,-3.39,-0.9297,53.5,6.594,-14.69,-31.0,-13.625,13.94,3.64,-5.344,15.94,-14.94,-9.625,9.625,16.0,-17.12,16.25,-6.438,-5.25,-3.11,-7.094,0.2383,-8.5,3.219,15.375,-18.88,-7.062,-24.12,8.69,5.625,-1.5,-5.875,16.62,0.4258,9.25,-1.898,2.39,5.375,14.94,-18.38,1.781,8.875,-9.19,-4.22,-1.945,-6.594,-9.31,0.535,-9.06,-10.56,-0.574,-14.0,5.375,13.69,0.3281,-6.656,14.125,8.875,-0.633,-4.78,-3.61,-0.953,6.03,6.5,7.812,10.0,-9.875,12.375,11.125,16.62,-14.19,-19.5,-13.5,-24.75,-6.78,10.69,-16.38,135.0,-5.03,-5.28,3.578,-1.8125,33.75,-15.56,-9.75,2.094,-2.672,-4.406,-1.93,7.438,6.562,16.38,-5.062,13.0,2.281,-3.344,18.0,-10.875,-14.19,9.94,7.53,8.94,13.0,3.125,4.875,17.62,20.0,-1.094,-5.562,-4.97,-17.62,-28.0,-5.03,10.06,-0.1011,10.06,-21.62,-2.75,9.5,-26.62,4.688,13.5,-2.188,-7.406,4.875,16.25,5.75,-18.12,-19.5,-12.0,-4.375,6.25,-17.62,4.938,1.016,2.875,17.25,1.0,7.97,-6.0,-12.875,-6.72,0.1836,12.625,-9.25,-11.375,10.125,42.0,15.56,-7.78,-3.188,13.56,-2.594,2.219,15.06,8.5,-21.62,-1.602,-10.75,-3.297
Q9UHD8,-11.5,1.594,19.38,2.578,24.75,5.22,-1.211,-5.094,15.125,21.0,-23.0,12.69,2.14,-5.844,-9.0,11.69,11.69,7.125,8.5,10.375,-0.0547,-6.062,5.688,-27.88,3.297,-19.75,-13.875,14.81,-0.7227,7.344,8.19,-1.57,-23.5,9.625,-8.625,-3.438,0.3281,7.22,-9.625,-0.4844,-6.938,12.125,-3.734,-15.0,15.69,-1.766,-9.5,-3.875,-4.938,3.812,8.625,-5.5,8.69,0.1758,-14.44,-12.25,15.5,2.953,-8.06,-15.19,10.5,-15.81,-1.086,4.094,-31.75,-5.594,-8.125,2.36,4.438,-1.1875,-5.812,-16.12,-8.81,-13.19,15.5,-35.75,-14.69,-4.656,-15.0,10.81,14.125,19.75,-10.875,-6.625,34.0,7.125,-3.64,-8.31,10.31,13.56,-11.625,24.62,23.12,-6.625,-9.06,3.312,-12.19,-35.25,58.5,1.078,-31.62,-23.38,-5.312,23.88,14.19,12.81,-8.94,6.812,-8.75,16.0,-12.56,-14.06,-9.25,-19.0,-0.922,0.996,-11.94,13.81,-1.656,-1.57,11.5,32.0,-14.75,-27.12,3.75,0.996,4.156,8.06,15.625,-7.062,-1.977,-2.375,-2.89,3.469,19.38,-12.56,-2.766,-0.1172,1.25,-7.094,4.812,13.06,11.69,7.125,5.812,2.25,-6.938,1.578,2.844,20.5,2.828,-6.25,12.75,7.47,9.56,10.94,-1.898,1.82,12.5,2.516,-6.438,14.81,0.6914,20.0,-3.75,31.25,-0.10547,-7.22,-18.5,8.375,10.06,-5.47,-15.06,157.0,6.375,2.734,8.25,-17.62,23.0,-25.88,-2.312,3.14,0.2734,-13.25,-14.94,12.625,9.625,4.28,7.562,-21.25,-8.25,3.11,-5.0,23.38,0.7266,29.5,-7.312,0.8164,-16.0,-6.0,-12.81,10.25,-4.78,-8.0,-4.53,9.25,-19.5,-24.88,5.5,17.5,-2.969,-6.53,-15.31,-0.3672,-28.75,-28.0,1.508,-1.602,-4.78,-12.75,-10.375,11.5,20.25,-3.031,-5.0,-6.53,-37.0,-1.8125,-5.5,0.6797,-19.38,23.25,10.125,-13.125,5.97,-7.78,9.875,-6.625,1.047,12.56,16.88,16.38,3.297,25.62,5.875,-6.25,2.906,-4.812,-3.188,19.62,15.625,7.812,-10.94,-9.0,11.19,-6.562
Q9UGY1,2.812,15.19,4.53,-2.031,-11.56,-19.5,13.5,-1.047,-0.379,-0.06445,-8.44,-5.0,31.62,7.03,12.19,-1.898,-23.62,18.0,7.75,2.938,-7.938,6.75,13.0,-20.0,-9.125,3.89,-2.89,9.19,17.88,1.922,-19.62,-25.25,2.281,-8.5,8.44,-5.72,1.711,-8.31,5.594,-26.88,-9.75,16.38,15.44,13.5,14.44,23.88,0.6523,26.88,0.2129,8.75,-7.625,-9.875,-0.07324,-9.56,16.5,-3.484,-13.69,13.0,-3.125,0.3945,-11.75,-11.31,6.188,3.672,-21.25,-17.25,-14.19,-18.25,-5.844,-10.81,12.81,-19.0,14.75,23.88,4.812,-6.625,-6.625,3.281,11.125,-3.86,-5.406,-12.56,-11.56,24.12,24.25,11.5,12.25,-18.12,-18.38,-30.12,-27.75,-7.03,-2.344,-7.094,-12.31,9.81,8.44,-12.0,49.25,16.25,-4.688,-36.5,-16.75,2.125,-0.2344,-4.25,-5.438,7.062,-4.062,6.875,20.62,6.938,21.88,-12.44,-19.62,-8.06,4.53,15.625,-0.7188,-0.2012,-15.06,-10.44,1.539,-29.62,1.172,-11.44,-8.25,14.25,-24.38,13.69,13.125,2.281,28.12,7.78,-2.156,-10.69,-8.06,17.62,4.656,-13.375,27.75,8.5,3.797,26.5,11.375,20.12,22.38,20.25,1.875,7.156,11.56,-11.56,8.56,-3.75,-6.22,-9.75,-8.56,9.5,21.62,-1.398,-17.38,-14.31,-20.0,11.0,14.69,1.906,-2.562,-34.0,9.31,-18.62,0.461,3.469,-0.8906,110.0,11.25,12.44,-3.734,7.875,23.12,16.75,2.453,-3.875,6.125,2.656,-0.5,4.625,0.2051,0.4766,4.625,15.625,-2.703,11.19,-1.203,-2.266,-6.47,0.03906,-2.0,9.06,-7.594,8.94,-16.0,-1.133,18.5,-4.03,-7.5,-0.7188,7.625,-22.62,9.5,3.906,12.94,19.75,-4.47,22.38,3.281,-37.5,-20.12,16.5,-6.938,-5.47,8.125,8.875,2.453,-36.0,-7.125,-39.25,1.148,2.266,-26.0,-2.25,3.547,-13.125,-3.453,11.875,25.25,12.44,9.56,-1.68,7.875,-16.38,12.125,-8.31,-17.88,34.25,12.81,-12.94,4.625,0.625,7.25,-12.56,30.38,13.625,4.625,-6.53,-2.938,-4.562
