Unnamed: 0.2,A_ID,B_ID,preA_ID,preB_ID,symbol,Protein_A,Protein_B,model_1_multimer_score(iptm+ptm),model_1_multimer_score(iptm),model_1_multimer_score(ptm),A template,B template,symbol_r
0,P31949,P49716,S100A11,CEBPD,P31949__P49716,P31949,P49716,0.4439999990463257,0.4699999988079071,0.34,"['2mjw_B', '4hrg_A', '4cfr_A', '4cfr_B', '5hyd_C', '5hyd_D', '2mrd_A', '7nmi_B', '7nmi_B', '1j55_A', '2y5i_B', '2y5i_D', '5d7f_B', '1a4p_A', '4ftg_A', '5k89_C', '4pe0_A', '4pe0_X', '1qls_A', '2luc_A']","['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '1nwq_A', '1nwq_A', '6mg1_A']",P49716__P31949
1,Q9Y383,P23769,LUC7L2,GATA2,P23769__Q9Y383,P23769,Q9Y383,0.14999999952316284,0.10999999940395355,0.31,"['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']","['5zwn_Y', '6n7r_I', '5zwn_Y', '6n7r_I']",Q9Y383__P23769
2,Q5RI15,P42574,COX20,CASP3,P42574__Q5RI15,P42574,Q5RI15,0.2139999978542328,0.11999999731779099,0.59,"['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']",[],Q5RI15__P42574
3,Q6IAA8,P49715,LAMTOR1,CEBPA,P49715__Q6IAA8,P49715,Q6IAA8,0.12999999952316285,0.10999999940395355,0.21,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['6ehr_E', '5x6v_E', '5yk3_F', '5x6u_E', '6ehp_E', '5y39_A', '6b9x_A', '5yk3_F', '5x6u_E', '6b9x_A']",Q6IAA8__P49715
4,Q12884,P18847,FAP,ATF3,Q12884__P18847,Q12884,P18847,0.3239999947547913,0.20999999344348907,0.78,"['5olj_A', '4a5s_A', '4n8d_B', '1z68_A', '6eop_C', '6qzw_C', '7a3l_A', '1orv_B', '6y0f_C', '1xfd_B', '4wjl_B', '7e89_B', '6x6a_D', '7a3f_D', '4q1v_B', '2z3z_A', '2d5l_A', '5yp4_B', '5l8s_C', '5yzo_A']","['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']",P18847__Q12884
5,P51991,P42574,HNRNPA3,CASP3,P42574__P51991,P42574,P51991,0.16999999952316286,0.10999999940395355,0.41,"['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']","['7dvq_4', '2lyv_A', '1po6_A', '6y53_o', '5ho4_A', '1ha1_A', '1l3k_A', '6r5k_H', '5mmj_v', '2kxh_A', '2km8_C', '6r5k_H', '4bs2_A', '6r5k_H', '4f02_A', '5x8p_v', '5x8r_v', '1cvj_A', '1cvj_B', '1fxl_A']",P51991__P42574
6,Q13418,P42574,ILK,CASP3,Q13418__P42574,Q13418,P42574,0.16400000286102295,0.09000000357627869,0.46,"['6mib_A', '3kmw_A', '3ppz_B', '3p86_B', '2h8h_A', '1y57_A', '2fo0_A', '4ueu_A', '1opk_A', '2gqg_A', '1fmk_A', '7ng7_A', '2f4j_A', '5hu9_A', '3kfa_A', '4uy9_B', '1yi6_B', '4xey_B', '7wf5_A', '4csv_A']","['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_A', '5jft_B', '2j30_A', '2j32_A', '1nms_B', '1gqf_B', '1i4o_B', '1m72_C', '1m72_A', '4jr2_B', '4hva_B', '3sir_A', '3sir_D']",P42574__Q13418
7,Q9BWM7,Q9Y2D1,SFXN3,ATF5,Q9Y2D1__Q9BWM7,Q9Y2D1,Q9BWM7,0.23199999713897707,0.1599999964237213,0.52,"['6irr_A', '5vpe_C', '6uci_D', '1t2k_D', '1ci6_A', '6irr_A']",[],Q9BWM7__Q9Y2D1
8,O14617,P15336,AP3D1,ATF2,P15336__O14617,P15336,O14617,0.2060000047683716,0.15000000596046448,0.43,"['2i13_A', '2i13_B', '2rpc_A', '6ml4_A', '1tf6_D', '2jpa_A', '1ubd_C', '6b0o_D', '5ei9_F', '5kl3_A', '5kl4_A', '2ebt_A', '2rpc_A', '1tf6_D', '5egb_A', '1mey_F', '5ke7_A', '5kl4_A', '5kl3_A', '2i13_A']","['7p3x_A', '4p6z_G', '6cri_R', '6qh7_A', '6qh5_A', '2jkr_A', '6yaf_B', '6owt_A', '6qh5_B', '4p6z_B', '7p3x_B', '7p3z_B', '6cri_J', '5nzr_K', '5a1y_V', '5a1u_G', '5nzr_B', '6qh5_B', '6cri_J', '4p6z_G']",O14617__P15336
9,P60174,P10242,TPI1,MYB,P60174__P10242,P60174,P10242,0.1659999978542328,0.11999999731779099,0.35,"['6ooi_C', '1mo0_A', '6cg9_B', '4mkn_A', '6oog_A', '1sw3_A', '6ooi_E', '4ohq_B', '6nee_B', '6jox_B', '6nxy_A', '6r8h_E', '1mo0_B', '5zg5_A', '5eyw_B', '6nxr_A', '3th6_A', '5zga_C', '6nlh_D', '4p61_B']","['6id0_L', '6id1_L', '1h88_C', '5gmk_c', '5wsg_c', '7dco_L', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '1h8a_C', '3jb9_W', '7dco_L', '6id0_L']",P10242__P60174
