gene_name,accession_id,gene_name_bait,accession_id_bait,P23769_model_1_multimer_score(iptm+ptm),P23769_model_1_multimer_score(iptm),P23769_model_1_multimer_score(ptm)
ALYREF,Q86V81,GATA2,P23769,0.18800000572204592,0.18000000715255737,0.22
SF3B3,Q15393,GATA2,P23769,0.26999999713897704,0.1599999964237213,0.71
SRSF3,P84103,GATA2,P23769,0.1379999978542328,0.11999999731779099,0.21
NOLC1,Q14978,GATA2,P23769,0.14199999618530273,0.12999999523162842,0.19
MAP4,P27816,GATA2,P23769,0.1939999980926514,0.1899999976158142,0.21
CAPNS1,P04632,GATA2,P23769,0.18400000476837158,0.15000000596046448,0.32
FUS,P35637,GATA2,P23769,0.1379999978542328,0.11999999731779099,0.21
RALY,Q9UKM9,GATA2,P23769,0.1920000057220459,0.18000000715255737,0.24
QKI,Q96PU8,GATA2,P23769,0.14999999952316284,0.10999999940395355,0.31
APOE,P02649,GATA2,P23769,0.28400000095367434,0.2800000011920929,0.3
DCD,P81605,GATA2,P23769,0.2020000023841858,0.20000000298023224,0.21
H1-10,Q92522,GATA2,P23769,0.11400000286102296,0.09000000357627869,0.21
H1-5,P16401,GATA2,P23769,0.1200000011920929,0.10000000149011612,0.2
H1-4,P10412,GATA2,P23769,0.1200000011920929,0.10000000149011612,0.2
CAPRIN1,Q14444,GATA2,P23769,0.15799999618530275,0.12999999523162842,0.27
ARL6IP4,Q66PJ3,GATA2,P23769,0.1640000047683716,0.15000000596046448,0.22
COX7A2,P14406,GATA2,P23769,0.1339999978542328,0.11999999731779099,0.19
SERPINE2,P07093,GATA2,P23769,0.18799999785423283,0.11999999731779099,0.46
DIMT1,Q9UNQ2,GATA2,P23769,0.2000000004768372,0.14000000059604645,0.44
SMIM20,Q8N5G0,GATA2,P23769,0.16999999713897707,0.1599999964237213,0.21
ILK,Q13418,GATA2,P23769,0.2519999947547913,0.20999999344348907,0.42
HNRNPAB,Q99729,GATA2,P23769,0.13799999952316283,0.10999999940395355,0.25
HNRNPD,Q14103,GATA2,P23769,0.13599999952316283,0.10999999940395355,0.24
ZNF346,Q9UL40,GATA2,P23769,0.13799999952316283,0.10999999940395355,0.25
EIF2S2,P20042,GATA2,P23769,0.1320000011920929,0.10000000149011612,0.26
NONO,Q15233,GATA2,P23769,0.15999999952316285,0.10999999940395355,0.36
SERBP1,Q8NC51,GATA2,P23769,0.12799999952316285,0.10999999940395355,0.2
MAP7D1,Q3KQU3,GATA2,P23769,0.14199999618530273,0.12999999523162842,0.19
